,,,DISTRICTWISE RAINFALL DISTRIBUTION,,,,,,,
S.No.,MET.,SUBDIVISION/ UT,DAY :,22.02.2026,TO,22.02.2026,PERIOD :,01.01.2026,TO,22.02.2026
,STATE/DISTRICT (NAME),,ACTUAL,NORMAL,% DEP.,CAT.,ACTUAL,NORMAL,% DEP.,CAT.
,,,(mm),(mm),,,(mm),(mm),,
,MIZORAM,,0,0.5,-100%,NR,0,24.2,-100%,NR
1,AIZWAL,,0,0.9,-100%,NR,0,24.7,-100%,NR
2,CHAMPHAI,,0,0.1,-100%,NR,0,25.5,-100%,NR
3,KOLASIB,,0,1.1,-100%,NR,0,31.2,-100%,NR
4,LAWNGTLAI,,0,0.1,-100%,NR,0,27.8,-100%,NR
5,LUNGLEI,,,0.3,,*,,19.7,,*
6,MAMIT,,,0.2,,*,,19.2,,*
7,SAIHA,,0,1.3,-100%,NR,0,30.5,-100%,NR
8,SERCHHIP,,0,0.6,-100%,NR,0,23.7,-100%,NR
,TRIPURA,,0,1.5,-100%,NR,0,22.4,-100%,NR
1,DHALAI,,0,2.3,-100%,NR,0,17.3,-100%,NR
2,GOMATI,,0,0.5,-100%,NR,0,24.3,-100%,NR
3,KHOWAI,,0,1.7,-100%,NR,0,22.7,-100%,NR
4,NORTH TRIPURA,,0,1.7,-100%,NR,0,26,-100%,NR
5,SIPAHIJALA,,0,0.7,-100%,NR,0,16.6,-100%,NR
6,SOUTH TRIPURA,,0,0.4,-100%,NR,0,26.3,-100%,NR
7,UNAKOTI,,0,3.6,-100%,NR,0,29.7,-100%,NR
8,WEST TRIPURA,,0,1.4,-100%,NR,0,22.1,-100%,NR
5,SHWB & SIKKIM,,0.1,0.9,-88%,LD,1.7,35.6,-95%,LD
,SIKKIM,,0.4,2.8,-86%,LD,5,81,-94%,LD
1,GANGTOK,,0,1.6,-100%,NR,0,56.8,-100%,NR
2,GYALSHING,,0,0.6,-100%,NR,0.6,33.2,-98%,LD
3,MANGAN,,0.6,3.5,-82%,LD,7.8,99.8,-92%,LD
4,NAMCHI,,0,0.6,-100%,NR,0,29.3,-100%,NR
5,PAKYONG,,0,0.3,-100%,NR,5.8,27.1,-79%,LD
6,SORENG,,0,0.6,-100%,NR,0.5,33.2,-98%,LD
,WEST BENGAL,,0,0.4,-100%,NR,0.2,23.6,-99%,LD
1,ALIPURDUAR,,0,0.2,-100%,NR,0.7,21.1,-97%,LD
2,COOCH BEHAR,,0,0.1,-100%,NR,0,20.1,-100%,NR
3,DARJEELING,,0,0.4,-100%,NR,0.2,27.4,-99%,LD
4,JALPAIGURI,,0,0.4,-100%,NR,0.5,20.5,-98%,LD
5,KALIMPONG,,0,0.4,-100%,NR,8.6,34.9,-76%,LD
6,MALDA,,0,0.1,-100%,NR,0,14.2,-100%,NR
7,NORTH DINAJPUR,,,0,,*,0,9.9,-100%,NR
8,SOUTH DINAJPUR,,0,0.2,-100%,NR,0,15.8,-100%,NR
